Output Areas Code,Output Areas,Observation
E00020853,E00020853,13644.1
E00020854,E00020854,12740.2
E00020855,E00020855,6579.8
E00020856,E00020856,6890.1
E00020857,E00020857,16044.4
E00020858,E00020858,8477.2
E00020859,E00020859,3914.6
E00020860,E00020860,5675.3
E00020861,E00020861,9029.6
E00020862,E00020862,5431
E00020863,E00020863,7547.6
E00020864,E00020864,38375
E00020865,E00020865,1758.9
E00020866,E00020866,7425.9
E00020867,E00020867,8918.3
E00020868,E00020868,8813.6
E00020869,E00020869,1936.7
E00020870,E00020870,5922.1
E00020871,E00020871,5373.6
E00020872,E00020872,8666.7
E00020873,E00020873,8508.2
E00020874,E00020874,7262.4
E00020875,E00020875,5831.6
E00020876,E00020876,8650.6
E00020877,E00020877,6894.1
E00020878,E00020878,8577.5
E00020879,E00020879,7591.5
E00020880,E00020880,8236.7
E00020881,E00020881,4992.4
E00020882,E00020882,5414.1
E00020883,E00020883,10200.4
E00020884,E00020884,4679.2
E00020885,E00020885,9751.8
E00020886,E00020886,9241.2
E00020887,E00020887,12135.2
E00020888,E00020888,5983.3
E00020889,E00020889,9596.5
E00020929,E00020929,8781.7
E00020930,E00020930,8805
E00020931,E00020931,4843.6
E00020935,E00020935,5301
E00020936,E00020936,5278.7
E00020937,E00020937,6603.3
E00020938,E00020938,3958.1
E00020940,E00020940,15920
E00020941,E00020941,4912.3
E00020942,E00020942,5963.7
E00020943,E00020943,10174.2
E00020944,E00020944,2462.9
E00020945,E00020945,7457.2
E00020946,E00020946,3664.8
E00020947,E00020947,7454.9
E00020948,E00020948,6688.9
E00020949,E00020949,7343.8
E00020950,E00020950,10000
E00020951,E00020951,20559
E00020952,E00020952,9355.9
E00020953,E00020953,8435.8
E00020954,E00020954,6923.1
E00020955,E00020955,2208.1
E00020956,E00020956,15548.4
E00020957,E00020957,5570.6
E00020958,E00020958,8892.4
E00020959,E00020959,3903.6
E00020960,E00020960,7673.1
E00020961,E00020961,9309.2
E00020962,E00020962,10819.1
E00020963,E00020963,5680.1
E00020964,E00020964,12413.8
E00020965,E00020965,5284.2
E00020966,E00020966,6659.2
E00020967,E00020967,5581
E00020969,E00020969,9027.4
E00020970,E00020970,8453.2
E00020971,E00020971,4614
E00020972,E00020972,7638.3
E00020973,E00020973,10433.8
E00020974,E00020974,9537.8
E00020975,E00020975,7617
E00020976,E00020976,9274.6
E00020977,E00020977,7226.1
E00020978,E00020978,6270.1
E00020979,E00020979,8943.4
E00020980,E00020980,12066.7
E00020981,E00020981,6175
E00020982,E00020982,6120.4
E00020983,E00020983,9137.5
E00020984,E00020984,4693.9
E00020985,E00020985,7809
E00020986,E00020986,4130.4
E00020987,E00020987,9206.9
E00020988,E00020988,5781.3
E00020989,E00020989,7927.1
E00020990,E00020990,6681.4
E00020991,E00020991,8211.6
E00020992,E00020992,7555.6
E00020993,E00020993,6973.1
E00020994,E00020994,7506.4
E00020995,E00020995,9159.7
E00020997,E00020997,9154.1
E00020998,E00020998,10903
E00020999,E00020999,7500
E00021000,E00021000,8380.7
E00021001,E00021001,7923.8
E00021002,E00021002,12433.6
E00021003,E00021003,6088.7
E00021005,E00021005,5571.8
E00021006,E00021006,8571.4
E00021007,E00021007,9313.1
E00021008,E00021008,9582.3
E00021009,E00021009,10417.9
E00021010,E00021010,8932.3
E00021011,E00021011,9318.9
E00021012,E00021012,8355.1
E00021013,E00021013,1603.3
E00021014,E00021014,7117.9
E00021015,E00021015,6875
E00021016,E00021016,3806.3
E00021017,E00021017,10855.9
E00021018,E00021018,7305.6
E00021019,E00021019,8184
E00021020,E00021020,18313.3
E00021021,E00021021,11740.9
E00021022,E00021022,7160.2
E00021023,E00021023,9031.3
E00021024,E00021024,13417.7
E00021025,E00021025,13011.6
E00021026,E00021026,8222.2
E00021027,E00021027,6308.2
E00021028,E00021028,7973.3
E00021029,E00021029,10339.6
E00021030,E00021030,2951
E00021031,E00021031,7388.4
E00021032,E00021032,10709.2
E00021033,E00021033,6739.9
E00021034,E00021034,3656.6
E00021035,E00021035,12070.7
E00021036,E00021036,6121.4
E00021037,E00021037,6747.8
E00021038,E00021038,13979.2
E00021039,E00021039,7820.8
E00021040,E00021040,6997.5
E00021041,E00021041,1792.6
E00021042,E00021042,8262.5
E00021043,E00021043,3630.3
E00021044,E00021044,6535.9
E00021045,E00021045,6908.6
E00021046,E00021046,8558.6
E00021047,E00021047,6788.5
E00021048,E00021048,11639.3
E00021049,E00021049,10921.1
E00021050,E00021050,14341.5
E00021051,E00021051,7957.9
E00021052,E00021052,7785.5
E00021053,E00021053,4033
E00021054,E00021054,5762.3
E00021055,E00021055,8133
E00021056,E00021056,4062.9
E00021057,E00021057,6675.6
E00021058,E00021058,3052.5
E00021059,E00021059,11216.9
E00021060,E00021060,2557
E00021061,E00021061,9180.9
E00021062,E00021062,11345.6
E00021063,E00021063,12895.8
E00021064,E00021064,13234.2
E00021065,E00021065,11227.4
E00021066,E00021066,16157
E00021067,E00021067,13416.7
E00021068,E00021068,9741.7
E00021069,E00021069,10000
E00021070,E00021070,8065.7
E00021071,E00021071,12170.5
E00021073,E00021073,9954.1
E00021074,E00021074,11645.6
E00021075,E00021075,11644.7
E00021076,E00021076,10820.2
E00021077,E00021077,9204.5
E00021078,E00021078,3032.8
E00021079,E00021079,13414.6
E00021080,E00021080,3816.5
E00021081,E00021081,2176
E00021082,E00021082,4872.2
E00021083,E00021083,12842.5
E00021084,E00021084,9633.5
E00021085,E00021085,13902.4
